ID	Epoch Day	Weekday	Date	When	Event	Tag
id=illuminati-2797	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	'Race war' in Bay area culminates in the killing of Dr. Foster which the SLA claims credit for in its first communique.	#illuminati
id=illuminati-2800	26,947	Wed 10 October 1973	10/10/1973	October 10, 1973 AD.	Spiro Theodore Agnew (November 9, 1918 – September 17, 1996) was the 39th vice president of the United States, serving from 1969 until his resignation in 1973. He is the second and most recent vice president to resign the position, the other being John C. Calhoun in 1832.	#illuminati
id=illuminati-2803	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Assassinations of US diplomats Cleo A. Nobel, Jr., and George C. Moore and Belgian diplomat Guy Eid by Palestinian guerrillas in Khartoum; Richard Sharples of Bermuda, Mohammed Ali Osman of Yemen, Salvador Allende Gossens of Chile, Luis Carrero Blanco of Spain and Dr. Marcus Foster in Oakland, California; assassination of an American Army officer by insurgent group in Iran.	#illuminati
id=illuminati-2806	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Behaviour mod unit started at El Reno, Oklahoma, prison; START-type program introduced to Maryland public schools by Behaviour Research Institute.	#illuminati
id=illuminati-2809	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Bilderberger meeting in Saltsjobaden, Sweden.	#illuminati
id=illuminati-2812	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Blue Dove becomes an FBI agent.	#illuminati
id=illuminati-2815	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	DeFreeze escapes from Soledad; Wheeler escapes from Vacaville.	#illuminati
id=illuminati-2818	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Durham becomes FBI agent, infiltrates American Indian Movement (AIM), becomes chief of security.	#illuminati
id=illuminati-2821	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Experiments with implanting electrodes in the brain carried out at Vacaville and elsewhere.	#illuminati
id=illuminati-2824	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Hunt beaten in his cell before testifying about the Bremer connection.	#illuminati
id=illuminati-2827	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Kissinger and his deputy General Scowcroft order a series of CIA spying operations in Micronesia.	#illuminati
id=illuminati-2830	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Liberation of Wounded Knee, South Dakota, by AIM.	#illuminati
id=illuminati-2833	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Senator Stennis shot in Washington, D.C.	#illuminati
id=illuminati-2836	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Sidney Gottlieb, head of CIA's LSD and other drug programs, destroys records to hide details of program.	#illuminati
id=illuminati-2839	26,665	Mon 1 January 1973	01/01/1973	1973 AD.	Sixth UFO flap year.	#illuminati
