ID	Epoch Day	Weekday	Date	When	Event	Tag
id=illuminati-1	01/01/-20000000	01/01/-20000000	01/01/-20000000	20,000,000 BC.	Recent Epoch of geology begins; Ice Age ends; human beings spread to all parts of the world.	#illuminati
id=illuminati-4	-11651095	Fri 1 January -30000	01/01/-30000	30,000 BC.	First Illuminatus, Gruad, rules in mythical Atlantis.	#illuminati
id=illuminati-7	-7998595	Wed 1 January -20000	01/01/-20000	20,000 BC.	Mythical Lloigor inhabit continent of Mu.	#illuminati
id=illuminati-10	-4346095	Mon 1 January -10000	01/01/-10000	10,000 BC.	Approximate beginning of agriculture.	#illuminati
id=illuminati-13	-4346095	Mon 1 January -10000	01/01/-10000	10,000 BC.	Earliest estimated date of carving of the Crystal Skull found at Lubaantun in the Yucatan.	#illuminati
id=illuminati-16	-4346095	Mon 1 January -10000	01/01/-10000	10,000 BC.	Estimated date of inscriptions on stone disks by the Dropa tribe, a diminutive people of the Bayan-Kara-Ula Mountains on the border of China and Tibet; disks describe how the tribe came to earth in flying machines; ancient Dropa graves contain human remains with huge heads and small bodies.	#illuminati
id=illuminati-19	-4346095	Mon 1 January -10000	01/01/-10000	10,000 BC.	Fictional Hyborian Age in Europe.	#illuminati
id=illuminati-22	-3980845	Fri 1 January -9000	01/01/-9000	9,000 to 10,000 BC.	Supposed date of Plato's Atlantis.	#illuminati
id=illuminati-25	-2885095	Wed 1 January -6000	01/01/-6000	6,000 BC.	Picture-writing develops.	#illuminati
id=illuminati-28	-2519845	Sun 1 January -5000	01/01/-5000	5,000 BC.	First alphabet begins to develop.	#illuminati
id=illuminati-31	-2154595	Thu 1 January -4000	01/01/-4000	4,000 BC.	Approximate date of discovery of metals, beginning of cities, constellations of stars first recorded.	#illuminati
id=illuminati-34	-2154595	Thu 1 January -4000	01/01/-4000	4,000 BC.	Egyptians begin placing small pieces of crystal on the forehead of deceased prior to mummification.	#illuminati
id=illuminati-37	-1830619	Sat 1 January -3113	01/01/-3113	3113 BC.	Trephination (cutting a hole in the skull) practised by people all over the world.	#illuminati
id=illuminati-40	-1789345	Mon 1 January -3000	01/01/-3000	3,000 BC.	Approximate date of building of the Sphinx and Great Pyramid at Giza and other pyramids elsewhere in Egypt.	#illuminati
id=illuminati-43	-1789345	Mon 1 January -3000	01/01/-3000	3,000 BC.	Beginning date of Olmec calendar from Central America.	#illuminati
id=illuminati-46	-1789345	Mon 1 January -3000	01/01/-3000	3,000 BC.	Earliest parts of the Bible written.	#illuminati
id=illuminati-49	-1789345	Mon 1 January -3000	01/01/-3000	3,000 BC.	Indus Valley civilization develops complex government, writing, and well planned cities.	#illuminati
id=illuminati-52	-1789345	Mon 1 January -3000	01/01/-3000	3,000 BC.	Minoan civilization flourishes in Crete.	#illuminati
id=illuminati-55	-1606720	Wed 1 January -2500	01/01/-2500	2,500 BC.	Sarmoung Brotherhood of Babylonia flourish according to Gurdjieff.	#illuminati
id=illuminati-58	-1460620	Sat 1 January -2100	01/01/-2100	2,100 BC.	Egyptians record star configurations (decans) on which the 24 hour day is based.	#illuminati
id=illuminati-61	-1424095	Fri 1 January -2000	01/01/-2000	2,000 BC.	Stonehenge and other stone circles built in England.	#illuminati
id=illuminati-64	-1351045	Wed 1 January -1800	01/01/-1800	1,800 BC.	Huge 'Silbury Hill' Mound constructed at Avebury, near Stonehenge.	#illuminati
id=illuminati-67	-1314520	Tue 1 January -1700	01/01/-1700	1,700 BC.	Babylonian Enuma Anu Enlil, early roots of astrology based on celestial phenomena.	#illuminati
id=illuminati-70	-1241470	Sun 1 January -1500	01/01/-1500	1,500 BC.	Approximate date of the destruction of Thera, on which Atlantis legends are probably based.	#illuminati
id=illuminati-73	-1241470	Sun 1 January -1500	01/01/-1500	1,500 BC.	Early references to Mithraism on cuneiform astronomical texts.	#illuminati
id=illuminati-76	-1241470	Sun 1 January -1500	01/01/-1500	1,500 BC.	Quadrants of the moon recorded in China.	#illuminati
id=illuminati-79	-1190335	Sun 1 January -1360	01/01/-1360	1,360 BC.	Akhenaten's (Son of Amenhotep III) monotheistic sun worship in Egypt.	#illuminati
id=illuminati-82	-1184491	Sat 1 January -1344	01/01/-1344	1,344 BC.	Tutankhamun, Akhenaten's successor who revived polytheism, buried at Thebes; curse reading 'Death comes on swift wings to he who opens this tomb,' written on tomb doorway.	#illuminati
id=illuminati-85	-1168420	Fri 1 January -1300	01/01/-1300	1,300 BC.	Approximate date I Ching written in China.	#illuminati
id=illuminati-88	-1126051	Wed 1 January -1184	01/01/-1184	1,184 BC.	End of the Trojan War, Illium falls to the Greeks.	#illuminati
id=illuminati-91	-1058845	Tue 1 January -1000	01/01/-1000	1,000 BC.	Huge Sacrificial Table built at Mystery Hill near North Salem, New Hampshire.	#illuminati
id=illuminati-94	-1058845	Tue 1 January -1000	01/01/-1000	1,000 to 2,000 BC.	Legendary Thule civilization in the Gobi region destroyed by a catastrophe, 'possibly of an atomic nature,' survivors migrating to Agarthi and Schamballah.	#illuminati
id=illuminati-97	-1040583	Mon 1 January -0950	01/01/-0950	950 BC.	Approximate date of building of Solomon's Temple in Jerusalem, traditional origin of the Masonic fraternity; alleged assassination of Temple master-mason Hiram for refusing to reveal masonic secrets.	#illuminati
id=illuminati-100	-1022320	Mon 1 January -0900	01/01/-0900	900 BC.	Approximate time that settlers from Europe and the Middle East established colonies in North America.	#illuminati
id=illuminati-103	-985795	Sun 1 January -0800	01/01/-0800	800 BC.	Twenty-eight 'moon stations' in monthly lunar cycle recognized in Babylonia, India, and China.	#illuminati
id=illuminati-106	-968629	Tue 1 January -0753	01/01/-0753	753 BC.	Legendary founding of Rome by Romulus.	#illuminati
id=illuminati-109	-949270	Sat 1 January -0700	01/01/-0700	700 BC.	Jordanian city of Petra is carved out of sandstone by unknown culture.	#illuminati
